CHROME.EXE-039F1FCA.pf,7/22/2022 8:46:13 AM,7/22/2022 10:23:41 AM,"23,608",CHROME.EXE,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,15,"7/22/2022 10:23:35 AM, 7/22/2022 10:23:32 AM, 7/22/2022 9:33:35 AM, 7/22/2022 9:00:06 AM, 7/22/2022 8:53:41 AM, 7/22/2022 8:47:07 AM, 7/22/2022 8:47:05 AM, 7/22/2022 8:46:53 AM",No
CHROME.EXE-039F1FD1.pf,7/22/2022 8:46:22 AM,7/22/2022 10:30:59 AM,"21,905",CHROME.EXE,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,9,"7/22/2022 10:30:59 AM, 7/22/2022 10:23:34 AM, 7/22/2022 10:00:58 AM, 7/22/2022 9:30:58 AM, 7/22/2022 9:00:57 AM, 7/22/2022 8:55:22 AM, 7/22/2022 8:46:27 AM, 7/22/2022 8:46:27 AM",No
CHXSMARTSCREEN.EXE-9DF92DA5.pf,7/7/2022 10:35:39 AM,7/7/2022 10:35:39 AM,"33,360",CHXSMARTSCREEN.EXE,C:\Windows\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE,1,7/7/2022 10:35:31 AM,No
CITRIXFILES.EXE-A23CA947.pf,6/15/2022 4:09:20 PM,6/21/2022 7:59:39 AM,"100,724",CITRIXFILES.EXE,C:\PROGRAM FILES\CITRIX\CITRIX FILES\CITRIXFILES.EXE,5,"6/21/2022 7:59:28 AM, 6/17/2022 8:03:15 AM, 6/16/2022 9:18:10 AM, 6/16/2022 9:18:02 AM, 6/15/2022 4:09:10 PM",Yes
CITRIXFILESFORWINDOWS-V22.5.2-2433C494.pf,6/15/2022 4:08:44 PM,6/15/2022 4:08:44 PM,"12,013",CITRIXFILESFORWINDOWS-V22.5.24.0(1).EXE,C:\USERS\NPMOYER\APPDATA\LOCAL\TEMP\{9521CBA2-9504-42FA-AB86-0D23349E4667}\.CR\CITRIXFILESFORWINDOWS-V22.5.24.0(1).EXE,1,6/15/2022 4:08:34 PM,Yes
CITRIXFILESFORWINDOWS.EXE-AC892991.pf,6/15/2022 4:08:57 PM,6/15/2022 4:08:57 PM,"10,921",CITRIXFILESFORWINDOWS.EXE,C:\USERS\NPMOYER\APPDATA\LOCAL\TEMP\{0879A164-7008-466E-B03A-B904EC33F208}\.BE\CITRIXFILESFORWINDOWS.EXE,1,6/15/2022 4:08:47 PM,Yes
CITRIXFILESFORWINDOWS.EXE-AD0E7F8D.pf,6/21/2022 8:08:23 AM,6/21/2022 8:08:30 AM,"15,096",CITRIXFILESFORWINDOWS.EXE,C:\PROGRAMDATA\PACKAGE CACHE\{AC4FE1F3-F6C7-46C5-99B6-9FA2916B45F8}\CITRIXFILESFORWINDOWS.EXE,3,"6/21/2022 8:08:20 AM, 6/21/2022 8:08:14 AM, 6/21/2022 8:08:13 AM",Yes
CMD.EXE-2EB3E6E2.pf,7/22/2022 10:29:31 AM,7/22/2022 10:33:16 AM,"4,859",CMD.EXE,C:\Windows\SysWOW64\cmd.exe,5,"7/22/2022 10:33:14 AM, 7/22/2022 10:32:57 AM, 7/22/2022 10:32:18 AM, 7/22/2022 10:30:10 AM, 7/22/2022 10:29:29 AM",No
CMD.EXE-CD245F9E.pf,7/22/2022 9:36:20 AM,7/22/2022 9:36:20 AM,"4,364",CMD.EXE,C:\Windows\System32\cmd.exe,1,7/22/2022 9:36:10 AM,No
CMRCVIEWER.EXE-CD932F58.pf,6/15/2022 1:20:58 PM,7/21/2022 2:44:40 PM,"29,947",CMRCVIEWER.EXE,C:\PROGRAM FILES (X86)\CONFIGMGR CONSOLE\bin\i386\CMRCVIEWER.EXE,104,"7/21/2022 2:44:29 PM, 7/21/2022 10:36:40 AM, 7/21/2022 10:25:58 AM, 7/21/2022 10:04:16 AM, 7/21/2022 9:22:13 AM, 7/21/2022 8:54:25 AM, 7/20/2022 2:42:15 PM, 7/20/2022 11:17:30 AM",No
CODE.EXE-6A10A75B.pf,6/17/2022 8:31:27 AM,7/19/2022 1:19:25 PM,"75,335",CODE.EXE,C:\Users\npmoyer\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,51,"7/19/2022 1:19:15 PM, 7/19/2022 1:19:09 PM, 7/15/2022 12:01:56 PM, 7/15/2022 12:01:56 PM, 7/15/2022 10:33:12 AM, 7/15/2022 10:28:51 AM, 7/15/2022 10:23:52 AM, 7/15/2022 10:23:47 AM",No
CODESETUP-STABLE-3B889B090B5A-92CAE830.pf,7/19/2022 1:19:56 PM,7/19/2022 1:19:56 PM,"42,790",CODESETUP-STABLE-3B889B090B5AD5793F524B5D1D39FDA662B96A2A.TMP,C:\USERS\NPMOYER\APPDATA\LOCAL\TEMP\IS-FL9TD.TMP\CODESETUP-STABLE-3B889B090B5AD5793F524B5D1D39FDA662B96A2A.TMP,1,7/19/2022 1:19:51 PM,Yes
CODESETUP-STABLE-92D25E35D9BF-4C96BBA3.pf,7/11/2022 8:06:44 AM,7/11/2022 8:06:44 AM,"42,726",CODESETUP-STABLE-92D25E35D9BF1A6B16F7D0758F25D48ACE11E5B9.TMP,C:\Users\npmoyer\AppData\Local\Temp\is-1G8K4.tmp\CODESETUP-STABLE-92D25E35D9BF1A6B16F7D0758F25D48ACE11E5B9.TMP,1,7/11/2022 8:06:41 AM,No
CODESETUP-STABLE-B06AE3B2D2DB-E80A15EA.pf,7/12/2022 5:47:51 PM,7/12/2022 5:47:51 PM,"12,155",CODESETUP-STABLE-B06AE3B2D2DBFE28BCA3134CC6BE65935CDFEA6A.TMP,C:\USERS\NPMOYER\APPDATA\LOCAL\TEMP\IS-1K7T6.TMP\CODESETUP-STABLE-B06AE3B2D2DBFE28BCA3134CC6BE65935CDFEA6A.TMP,1,7/12/2022 5:47:42 PM,Yes
COMPPKGSRV.EXE-6D25F3E6.pf,7/22/2022 10:23:16 AM,7/22/2022 10:23:16 AM,"5,236",COMPPKGSRV.EXE,C:\Windows\System32\COMPPKGSRV.EXE,1,7/22/2022 10:23:16 AM,No
CONHOST.EXE-F98A1078.pf,7/15/2022 11:39:25 AM,7/22/2022 10:22:32 AM,"4,803",CONHOST.EXE,C:\Windows\System32\conhost.exe,"1,121","7/22/2022 10:22:32 AM, 7/22/2022 10:19:28 AM, 7/22/2022 10:16:09 AM, 7/22/2022 10:13:21 AM, 7/22/2022 10:10:47 AM, 7/22/2022 10:07:50 AM, 7/22/2022 10:01:54 AM, 7/22/2022 9:58:13 AM",No
